anger,disgust,fear,joy,sadness,surprise,neutral,isbn13
0.02964133769273758,0.338238924741745,0.9839729070663452,0.949027419090271,0.697845458984375,0.9560652375221252,0.7296022772789001,9780002005883
0.5944677591323853,0.4619903266429901,0.9352147579193115,0.7044220566749573,0.8911097049713135,0.0514134056866169,0.21222198009490967,9780002261982
0.041300997138023376,0.02456839196383953,0.9732851982116699,0.7672379016876221,0.042175814509391785,0.010859841480851173,0.009796070866286755,9780006178736
0.325305700302124,0.1257629245519638,0.4363379180431366,0.24220913648605347,0.7326847910881042,0.04327217862010002,0.0290838610380888,9780006280897
0.09173222631216049,0.1974344253540039,0.0950433686375618,0.04114586487412453,0.8900479078292847,0.47588038444519043,0.012259820476174355,9780006280934
0.20615443587303162,0.7573779821395874,0.03679518774151802,0.04337581619620323,0.621392011642456,0.10883185267448425,0.27190330624580383,9780006380832
0.551382839679718,0.1822037547826767,0.7008530497550964,0.8725654482841492,0.7286503911018372,0.3488624393939972,0.06177809461951256,9780006470229
0.023656314238905907,0.05670759454369545,0.40449732542037964,0.013375170528888702,0.29216593503952026,0.7591318488121033,0.23448678851127625,9780006472612
0.30066993832588196,0.28747668862342834,0.8970006108283997,0.016693448647856712,0.8855164647102356,0.30960482358932495,0.18258193135261536,9780006482079
0.017658427357673645,0.17792658507823944,0.049456968903541565,0.03219778090715408,0.6624064445495605,0.01354012917727232,0.04681357368826866,9780006483014
0.006768189836293459,0.0028342141304165125,0.010044182650744915,0.5343117713928223,0.2624169886112213,0.0034570940770208836,0.1801675409078598,9780006483892
0.578101634979248,0.3063538670539856,0.9190263748168945,0.012553779408335686,0.5549611449241638,0.16931335628032684,0.12936300039291382,9780006483908
0.07590627670288086,0.15934205055236816,0.9810059070587158,0.4908636808395386,0.8094727396965027,0.11458852142095566,0.03272334113717079,9780006486145
0.04196576774120331,0.025780009105801582,0.8885290622711182,0.9289149045944214,0.5684449672698975,0.8678780198097229,0.21718090772628784,9780006490456
0.12648864090442657,0.24003875255584717,0.9441869258880615,0.36935675144195557,0.5404863953590393,0.7966846823692322,0.7585997581481934,9780006496434
